County,Year,precip
Allen,2010,43.3
Anderson,2010,43.97
Atchison,2010,39.84
Barber,2010,28.33
Barton,2010,25.96
Bourbon,2010,44.55
Brown,2010,37.58
Butler,2010,33.05
Chase,2010,37.59
Chautauqua,2010,34.83
Cherokee,2010,39.79
Cheyenne,2010,18.2
Clark,2010,21.22
Clay,2010,33.33
Cloud,2010,33.24
Coffey,2010,41.22
Comanche,2010,22.3
Cowley,2010,33.55
Crawford,2010,39.27
Decatur,2010,22.76
Dickinson,2010,32.04
Doniphan,2010,38.47
Douglas,2010,38.41
Edwards,2010,26.53
Elk,2010,36.31
Ellis,2010,21.12
Ellsworth,2010,26.23
Finney,2010,15.15
Ford,2010,24.45
Franklin,2010,41.69
Geary,2010,33.49
Gove,2010,19.52
Graham,2010,19.56
Grant,2010,13.85
Gray,2010,17.96
Greeley,2010,16.73
Greenwood,2010,37.34
Hamilton,2010,12.59
Harper,2010,31.03
Harvey,2010,32.41
Haskell,2010,15.2
Hodgeman,2010,19.84
Jackson,2010,37.6
Jefferson,2010,39.97
Jewell,2010,28.14
Johnson,2010,41.64
Kearny,2010,14.54
Kingman,2010,33.12
Kiowa,2010,25.69
Labette,2010,38.21
Lane,2010,16.56
Leavenworth,2010,39.81
Lincoln,2010,28.44
Linn,2010,42.88
Logan,2010,17.61
Lyon,2010,37.71
Marion,2010,35.46
Marshall,2010,34.83
McPherson,2010,30.53
Meade,2010,20.61
Miami,2010,42.63
Mitchell,2010,27.86
Montgomery,2010,37.94
Morris,2010,36.94
Morton,2010,14.22
Nemaha,2010,34.3
Neosho,2010,41.06
Ness,2010,15.25
Norton,2010,23.39
Osage,2010,39.76
Osborne,2010,25.72
Ottawa,2010,31.91
Pawnee,2010,23.11
Phillips,2010,26.32
Pottawatomie,2010,33.53
Pratt,2010,28.98
Rawlins,2010,18.76
Reno,2010,32.46
Republic,2010,31.12
Rice,2010,29.44
Riley,2010,32.78
Rooks,2010,20.96
Rush,2010,20.53
Russell,2010,24.01
Saline,2010,27.49
Scott,2010,17.72
Sedgwick,2010,30.32
Seward,2010,18.1
