strain	putative_species	species_site	site	region	Dry.Wet	precip_in	longitude	latitude	Genome_size_bp	fasta	gff	relative_growth_nacl	log10_relative_growth_nacl	relative_growth_peg	log10_relative_growth_peg	removed_clone	gp37_CN	prophage_genes	pg04_05_variant	pilQ_group_245	pilR_group_8679
HAY1-4A	IV	IV_HAY	HAY	WK	dry	24.423	38.83564	-99.30332	4214195	assemblies/HAY1-4A.fasta	annotations/HAY1-4A.gff	5.424848663	0.734387707	5.959836591	0.775234425	no	0	44	none	0	0
KNZ1-1G	I	I_KNZ	KNZ	KNZ	wet	33.409	39.10183	-96.59624	4314445	assemblies/KNZ1-1G.fasta	annotations/KNZ1-1G.gff	0.07388564	-1.131434083	0.182326257	-0.739148402	no	0	27	both	0	0
KNZ1-1H	I	I_KNZ	KNZ	KNZ	wet	33.409	39.10183	-96.59624	4306499	assemblies/KNZ1-1H.fasta	annotations/KNZ1-1H.gff	0.107628361	-0.968069238	0.306825956	-0.513106489	yes	0	7	A	0	0
KNZ1-4G	I	I_KNZ	KNZ	KNZ	wet	33.409	39.10183	-96.59624	4306293	assemblies/KNZ1-4G.fasta	annotations/KNZ1-4G.gff	0.491724982	-0.308276844	2.754923857	0.440109758	no	0	18	A	0	0
KNZ1-6H	I	I_KNZ	KNZ	KNZ	wet	33.409	39.10183	-96.59624	4306766	assemblies/KNZ1-6H.fasta	annotations/KNZ1-6H.gff	0.072989723	-1.136732334	0.289140697	-0.538889274	no	0	12	B	0	0
KNZ1-9H	I	I_KNZ	KNZ	KNZ	wet	33.409	39.10183	-96.59624	4308367	assemblies/KNZ1-9H.fasta	annotations/KNZ1-9H.gff	0.407299255	-0.390085318	2.275253598	0.357030001	no	0	19	A	0	0
KNZ12-10F	I	I_KNZ	KNZ	KNZ	wet	33.409	39.10183	-96.59624	4393225	assemblies/KNZ12-10F.fasta	annotations/KNZ12-10F.gff	0.098470677	-1.006688666	0.523163919	-0.281361385	yes	0	7	none	0	0
KNZ12-12B	I	I_KNZ	KNZ	KNZ	wet	33.409	39.10183	-96.59624	4395844	assemblies/KNZ12-12B.fasta	annotations/KNZ12-12B.gff	0.060088495	-1.221201446	0.108179459	-0.96585118	no	0	7	none	0	0
KNZ12-1A	I	I_KNZ	KNZ	KNZ	wet	33.409	39.10183	-96.59624	4392764	assemblies/KNZ12-1A.fasta	annotations/KNZ12-1A.gff	0.003880809	-2.410965837			yes	0	7	none	0	0
KNZ12-1B	I	I_KNZ	KNZ	KNZ	wet	33.409	39.10183	-96.59624	4391829	assemblies/KNZ12-1B.fasta	annotations/KNZ12-1B.gff	0.185449031	-0.73177309	0.463293713	-0.334142656	no	0	7	none	0	0
KNZ12-6F	I	I_KNZ	KNZ	KNZ	wet	33.409	39.10183	-96.59624	4395839	assemblies/KNZ12-6F.fasta	annotations/KNZ12-6F.gff	0.016419672	-1.784609074			no	0	7	none	0	0
KNZ12-7H	I	I_KNZ	KNZ	KNZ	wet	33.409	39.10183	-96.59624	4392825	assemblies/KNZ12-7H.fasta	annotations/KNZ12-7H.gff	0.109529802	-0.960463732	0.379622463	-0.420646953	no	0	7	none	0	0
KNZ13-10G	I	I_KNZ	KNZ	KNZ	wet	33.409	39.10183	-96.59624	4392483	assemblies/KNZ13-10G.fasta	annotations/KNZ13-10G.gff	0.033839677	-1.470560957			no	0	7	none	0	0
KNZ13-1A	I	I_KNZ	KNZ	KNZ	wet	33.409	39.10183	-96.59624	4394418	assemblies/KNZ13-1A.fasta	annotations/KNZ13-1A.gff	0.033593188	-1.473735852			no	0	7	none	0	0
KNZ13-6D	I	I_KNZ	KNZ	KNZ	wet	33.409	39.10183	-96.59624	4397748	assemblies/KNZ13-6D.fasta	annotations/KNZ13-6D.gff	0.177304171	-0.751278598	0.660551543	-0.180092631	no	0	8	none	0	0
KNZ14-11B	I	I_KNZ	KNZ	KNZ	wet	33.409	39.10183	-96.59624	4395980	assemblies/KNZ14-11B.fasta	annotations/KNZ14-11B.gff	0.023636798	-1.626392983	0.02286468	-1.640815879	no	0	7	none	0	0
KNZ14-9G	I	I_KNZ	KNZ	KNZ	wet	33.409	39.10183	-96.59624	4393516	assemblies/KNZ14-9G.fasta	annotations/KNZ14-9G.gff	0.027349139	-1.563040462	0.023270784	-1.633170323	no	0	7	none	0	0
KNZ2-12A	I	I_KNZ	KNZ	KNZ	wet	33.409	39.10183	-96.59624	4308414	assemblies/KNZ2-12A.fasta	annotations/KNZ2-12A.gff	0.458860461	-0.338318416	0.134997735	-0.869670301	no	0	18	A	0	0
KNZ2-1B	I	I_KNZ	KNZ	KNZ	wet	33.409	39.10183	-96.59624	4307368	assemblies/KNZ2-1B.fasta	annotations/KNZ2-1B.gff	0.350149222	-0.455745594	0.766069174	-0.115731446	no	0	17	A	0	0
KNZ2-1C	I	I_KNZ	KNZ	KNZ	wet	33.409	39.10183	-96.59624	4305563	assemblies/KNZ2-1C.fasta	annotations/KNZ2-1C.gff	0.820580287	-0.085878391	1.948644839	0.289732914	no	0	18	A	0	0
KNZ2-3D	I	I_KNZ	KNZ	KNZ	wet	33.409	39.10183	-96.59624	4315519	assemblies/KNZ2-3D.fasta	annotations/KNZ2-3D.gff	0.079326748	-1.100574875			no	0	15	A	0	0
KNZ2-4C	I	I_KNZ	KNZ	KNZ	wet	33.409	39.10183	-96.59624	4305730	assemblies/KNZ2-4C.fasta	annotations/KNZ2-4C.gff	0.022408485	-1.649568124	0	-6	no	0	13	B	0	0
KNZ2-5A	I	I_KNZ	KNZ	KNZ	wet	33.409	39.10183	-96.59624	4317516	assemblies/KNZ2-5A.fasta	annotations/KNZ2-5A.gff	1.497072306	0.175243067	2.11183426	0.324660037	no	0	27	both	0	0
KNZ2-5C	I	I_KNZ	KNZ	KNZ	wet	33.409	39.10183	-96.59624	4310816	assemblies/KNZ2-5C.fasta	annotations/KNZ2-5C.gff	0.016619022	-1.779368406	0.012295011	-1.910235757	no	0	12	A	0	0
KNZ2-5D	I	I_KNZ	KNZ	KNZ	wet	33.409	39.10183	-96.59624	4304651	assemblies/KNZ2-5D.fasta	annotations/KNZ2-5D.gff	0.088978026	-1.050712353			yes	0	19	A	0	0
KNZ2-6B	I	I_KNZ	KNZ	KNZ	wet	33.409	39.10183	-96.59624	4307756	assemblies/KNZ2-6B.fasta	annotations/KNZ2-6B.gff	1.071293827	0.029909008	0.908510621	-0.041669513	no	0	19	A	0	0
KNZ2-6D	I	I_KNZ	KNZ	KNZ	wet	33.409	39.10183	-96.59624	4312538	assemblies/KNZ2-6D.fasta	annotations/KNZ2-6D.gff	0.224211191	-0.649340777			yes	0	28	both	0	0
KNZ2-7A	I	I_KNZ	KNZ	KNZ	wet	33.409	39.10183	-96.59624	4308016	assemblies/KNZ2-7A.fasta	annotations/KNZ2-7A.gff	1.306295838	0.116041876	1.395446848	0.14471361	no	0	19	A	0	0
KNZ2-8B	I	I_KNZ	KNZ	KNZ	wet	33.409	39.10183	-96.59624	4305037	assemblies/KNZ2-8B.fasta	annotations/KNZ2-8B.gff	1.080328131	0.033556087	2.437550556	0.38695381	no	0	19	A	0	0
KNZ2-8D	I	I_KNZ	KNZ	KNZ	wet	33.409	39.10183	-96.59624	4307201	assemblies/KNZ2-8D.fasta	annotations/KNZ2-8D.gff	0.490089816	-0.309723436	0.384244973	-0.415390675	no	0	19	A	0	0
KNZ2-9B	I	I_KNZ	KNZ	KNZ	wet	33.409	39.10183	-96.59624	4304976	assemblies/KNZ2-9B.fasta	annotations/KNZ2-9B.gff	0.472494616	-0.325602217	0.322835324	-0.491017606	no	0	17	A	0	0
SVR3-12F	III	III_SVR	SVR	WK	dry	19.146	38.87416	-100.98318	4295347	assemblies/SVR3-12F.fasta	annotations/SVR3-12F.gff	6.522229873	0.814396168	4.563053638	0.659255669	no	0	56	none	0	1
SVR3-5F	III	III_SVR	SVR	WK	dry	19.146	38.87416	-100.98318	4288968	assemblies/SVR3-5F.fasta	annotations/SVR3-5F.gff	0.119040875	-0.924300241	0.104039754	-0.982796509	yes	0	59	none	0	1
SVR3-6C	III	III_SVR	SVR	WK	dry	19.146	38.87416	-100.98318	4291759	assemblies/SVR3-6C.fasta	annotations/SVR3-6C.gff	0.045461156	-1.342349972	0.048279367	-1.316229437	no	0	58	none	0	1
SVR3-7D	II	II_SVR	SVR	WK	dry	19.146	38.87416	-100.98318	4172080	assemblies/SVR3-7D.fasta	annotations/SVR3-7D.gff	2.291089456	0.360042236	2.842784449	0.453744084	no	8	0	none	0	0
SVR3-7F	III	III_SVR	SVR	WK	dry	19.146	38.87416	-100.98318	4290275	assemblies/SVR3-7F.fasta	annotations/SVR3-7F.gff	0.054746507	-1.261635652	0.405530596	-0.391975303	no	0	61	none	0	1
SVR3-8D	III	III_SVR	SVR	WK	dry	19.146	38.87416	-100.98318	4290609	assemblies/SVR3-8D.fasta	annotations/SVR3-8D.gff	0.955346911	-0.019838442	1.878919829	0.273908481	no	0	56	none	0	1
SVR3-8G	II	II_SVR	SVR	WK	dry	19.146	38.87416	-100.98318	4174167	assemblies/SVR3-8G.fasta	annotations/SVR3-8G.gff	0.039349624	-1.405048376			no	8	0	none	0	0
SVR3-9D	III	III_SVR	SVR	WK	dry	19.146	38.87416	-100.98318	4289227	assemblies/SVR3-9D.fasta	annotations/SVR3-9D.gff	0.060305936	-1.219632736	0.001867817	-2.728433224	no	0	56	none	0	0
SVR3-9F	II	II_SVR	SVR	WK	dry	19.146	38.87416	-100.98318	4173756	assemblies/SVR3-9F.fasta	annotations/SVR3-9F.gff	5.636762094	0.751029782	2.564616929	0.409022674	no	8	0	none	0	0
SVR3-9G	II	II_SVR	SVR	WK	dry	19.146	38.87416	-100.98318	4179645	assemblies/SVR3-9G.fasta	annotations/SVR3-9G.gff	0.014393149	-1.841814006			no	8	0	none	0	0
SVR3-9H	III	III_SVR	SVR	WK	dry	19.146	38.87416	-100.98318	4291195	assemblies/SVR3-9H.fasta	annotations/SVR3-9H.gff	0.09596785	-1.017869709	0.10009951	-0.99956371	no	0	56	none	0	1
SVR4-10G	II	II_SVR	SVR	WK	dry	19.146	38.87416	-100.98318	4173209	assemblies/SVR4-10G.fasta	annotations/SVR4-10G.gff	0.006769032	-2.169409279			no	7	0	none	0	0
SVR4-12F	III	III_SVR	SVR	WK	dry	19.146	38.87416	-100.98318	4290051	assemblies/SVR4-12F.fasta	annotations/SVR4-12F.gff	0.012661284	-1.89748795	0.01655161	-1.781133517	no	0	59	none	0	1
SVR4-1A	III	III_SVR	SVR	WK	dry	19.146	38.87416	-100.98318	4291872	assemblies/SVR4-1A.fasta	annotations/SVR4-1A.gff	0.171013597	-0.766966819	1.90778977	0.280530743	no	0	59	none	0	1
SVR4-1E	III	III_SVR	SVR	WK	dry	19.146	38.87416	-100.98318	4294349	assemblies/SVR4-1E.fasta	annotations/SVR4-1E.gff	0.499266544	-0.301666665	1.045961291	0.019516028	no	0	60	none	0	1
SVR4-7E	II	II_SVR	SVR	WK	dry	19.146	38.87416	-100.98318	4182722	assemblies/SVR4-7E.fasta	annotations/SVR4-7E.gff	1.82396939	0.261017784	1.80153088	0.255641952	no	9	0	none	0	0
SVR4-9A	III	III_SVR	SVR	WK	dry	19.146	38.87416	-100.98318	4292357	assemblies/SVR4-9A.fasta	annotations/SVR4-9A.gff	0.157136549	-0.803720025	0.094210466	-1.025896238	no	0	56	none	0	1
SVR4-9G	III	III_SVR	SVR	WK	dry	19.146	38.87416	-100.98318	4293095	assemblies/SVR4-9G.fasta	annotations/SVR4-9G.gff	1.204273604	0.080725528	0.080293259	-1.095315505	no	0	58	none	0	1
SVR5-10A	III	III_SVR	SVR	WK	dry	19.146	38.87416	-100.98318	4290969	assemblies/SVR5-10A.fasta	annotations/SVR5-10A.gff	0.085786272	-1.066577142	0.194215386	-0.711714132	no	0	56	none	0	1
SVR5-11B	III	III_SVR	SVR	WK	dry	19.146	38.87416	-100.98318	4290437	assemblies/SVR5-11B.fasta	annotations/SVR5-11B.gff	3.841052196	0.584450322	3.624084953	0.559198489	no	0	56	none	0	1
SVR5-12D	III	III_SVR	SVR	WK	dry	19.146	38.87416	-100.98318	4291125	assemblies/SVR5-12D.fasta	annotations/SVR5-12D.gff	0.432158883	-0.364355551	0.756478789	-0.121202671	no	0	56	none	0	1
SVR5-12G	III	III_SVR	SVR	WK	dry	19.146	38.87416	-100.98318	4292207	assemblies/SVR5-12G.fasta	annotations/SVR5-12G.gff	0.06521343	-1.185656297	3.873029703	0.58805094	no	0	58	none	0	1
SVR5-1A	II	II_SVR	SVR	WK	dry	19.146	38.87416	-100.98318	4172451	assemblies/SVR5-1A.fasta	annotations/SVR5-1A.gff	0.394230621	-0.404248544	1.233115387	0.091004069	no	9	0	none	0	0
SVR5-1B	III	III_SVR	SVR	WK	dry	19.146	38.87416	-100.98318	4292267	assemblies/SVR5-1B.fasta	annotations/SVR5-1B.gff	5.946554721	0.774265493	4.338745867	0.637364313	no	0	56	none	0	1
SVR5-1H	III	III_SVR	SVR	WK	dry	19.146	38.87416	-100.98318	4291846	assemblies/SVR5-1H.fasta	annotations/SVR5-1H.gff	0.070045646	-1.154612655	0.138120559	-0.859738528	no	0	59	none	0	1
SVR5-2B	III	III_SVR	SVR	WK	dry	19.146	38.87416	-100.98318	4293667	assemblies/SVR5-2B.fasta	annotations/SVR5-2B.gff	0.110741443	-0.9556859	0.165717796	-0.780628231	no	0	56	none	0	1
SVR5-3A	II	II_SVR	SVR	WK	dry	19.146	38.87416	-100.98318	4171141	assemblies/SVR5-3A.fasta	annotations/SVR5-3A.gff	0.086560901	-1.062673215			no	9	0	none	0	0
SVR5-3C	III	III_SVR	SVR	WK	dry	19.146	38.87416	-100.98318	4289977	assemblies/SVR5-3C.fasta	annotations/SVR5-3C.gff	0.03463935	-1.460417729	0.222108045	-0.653433755	no	0	59	none	0	1
SVR5-3E	III	III_SVR	SVR	WK	dry	19.146	38.87416	-100.98318	4292819	assemblies/SVR5-3E.fasta	annotations/SVR5-3E.gff	0.368108552	-0.434022913	0.438763183	-0.357768832	no	0	58	none	0	1
SVR5-4F	III	III_SVR	SVR	WK	dry	19.146	38.87416	-100.98318	4288641	assemblies/SVR5-4F.fasta	annotations/SVR5-4F.gff	0.014180285	-1.848284415	0.016107514	-1.792944521	no	0	59	none	1	1
SVR5-5G	III	III_SVR	SVR	WK	dry	19.146	38.87416	-100.98318	4292927	assemblies/SVR5-5G.fasta	annotations/SVR5-5G.gff	0.051653005	-1.286896	0.12147901	-0.915495181	no	0	58	none	0	1
SVR5-9B	III	III_SVR	SVR	WK	dry	19.146	38.87416	-100.98318	4293415	assemblies/SVR5-9B.fasta	annotations/SVR5-9B.gff	0.004123896	-2.384586997			no	0	58	none	0	1
SVR6-10C	III	III_SVR	SVR	WK	dry	19.146	38.87416	-100.98318	4291963	assemblies/SVR6-10C.fasta	annotations/SVR6-10C.gff	0.360307578	-0.443325398	0.210448063	-0.676853004	no	0	58	none	0	1
SVR6-10D	III	III_SVR	SVR	WK	dry	19.146	38.87416	-100.98318	4290017	assemblies/SVR6-10D.fasta	annotations/SVR6-10D.gff	0.308005203	-0.511440537	0.400680431	-0.397200784	no	0	58	none	0	1
SVR6-11A	III	III_SVR	SVR	WK	dry	19.146	38.87416	-100.98318	4289447	assemblies/SVR6-11A.fasta	annotations/SVR6-11A.gff	0.008378572	-2.076778163			no	0	56	none	0	1
SVR6-11D	III	III_SVR	SVR	WK	dry	19.146	38.87416	-100.98318	4290982	assemblies/SVR6-11D.fasta	annotations/SVR6-11D.gff	0.002158372	-2.665672534			no	0	56	none	1	1
SVR6-7A	III	III_SVR	SVR	WK	dry	19.146	38.87416	-100.98318	4291242	assemblies/SVR6-7A.fasta	annotations/SVR6-7A.gff	0.03395244	-1.469116219	0.154752235	-0.810360264	no	0	56	none	0	1
SVR6-8A	III	III_SVR	SVR	WK	dry	19.146	38.87416	-100.98318	4293308	assemblies/SVR6-8A.fasta	annotations/SVR6-8A.gff	0.085002664	-1.070562354	0.095739696	-1.01890342	no	0	58	none	0	1
SVR6-9D	III	III_SVR	SVR	WK	dry	19.146	38.87416	-100.98318	4305450	assemblies/SVR6-9D.fasta	annotations/SVR6-9D.gff	0.514558864	-0.288564092	0.099339924	-1.002871805	no	0	58	none	0	1
TLI6-10H	I	I_TLI	TLI	TLI	wet	29.413	38.7678	-97.5664	4301144	assemblies/TLI6-10H.fasta	annotations/TLI6-10H.gff	0.041760642	-1.379222434			no	0	7	none	0	0
TLI6-11F	I	I_TLI	TLI	TLI	wet	29.413	38.7678	-97.5664	4299202	assemblies/TLI6-11F.fasta	annotations/TLI6-11F.gff	0.142761299	-0.845386467	0.361930986	-0.441373034	yes	0	7	none	0	0
TLI6-1G	I	I_TLI	TLI	TLI	wet	29.413	38.7678	-97.5664	4300721	assemblies/TLI6-1G.fasta	annotations/TLI6-1G.gff	0.107092819	-0.970235594			yes	0	8	none	0	0
TLI6-3F	I	I_TLI	TLI	TLI	wet	29.413	38.7678	-97.5664	4298329	assemblies/TLI6-3F.fasta	annotations/TLI6-3F.gff	1.209002707	0.082427632	3.167269056	0.500685095	no	0	7	none	0	0
TLI6-4A	I	I_TLI	TLI	TLI	wet	29.413	38.7678	-97.5664	4298095	assemblies/TLI6-4A.fasta	annotations/TLI6-4A.gff					yes	0	7	none	0	0
TLI6-5F	I	I_TLI	TLI	TLI	wet	29.413	38.7678	-97.5664	4300337	assemblies/TLI6-5F.fasta	annotations/TLI6-5F.gff	0.361031346	-0.442453887	0.367022941	-0.435305606	no	0	7	none	0	0
TLI6-5H	I	I_TLI	TLI	TLI	wet	29.413	38.7678	-97.5664	4299346	assemblies/TLI6-5H.fasta	annotations/TLI6-5H.gff	0.060912362	-1.21528743	0.027353568	-1.562970139	yes	0	8	none	0	0
TLI6-8H	I	I_TLI	TLI	TLI	wet	29.413	38.7678	-97.5664	4297698	assemblies/TLI6-8H.fasta	annotations/TLI6-8H.gff	0.396551332	-0.401699492	0.395350058	-0.403017095	yes	0	7	none	0	0
TLI6-IE	I	I_TLI	TLI	TLI	wet	29.413	38.7678	-97.5664	4296943	assemblies/TLI6-IE.fasta	annotations/TLI6-IE.gff	0.360992907	-0.442500128	0.924452093	-0.03411512	yes	0	7	none	0	0
TLI7-5F	I	I_TLI	TLI	TLI	wet	29.413	38.7678	-97.5664	4300077	assemblies/TLI7-5F.fasta	annotations/TLI7-5F.gff	0.033270787	-1.477923873			no	0	7	none	0	0
TLI7-6A	I	I_TLI	TLI	TLI	wet	29.413	38.7678	-97.5664	4298673	assemblies/TLI7-6A.fasta	annotations/TLI7-6A.gff	0.384054672	-0.415605817	0.596840889	-0.224140704	yes	0	7	none	0	0
TLI7-7B	I	I_TLI	TLI	TLI	wet	29.413	38.7678	-97.5664	4297196	assemblies/TLI7-7B.fasta	annotations/TLI7-7B.gff	0.034084704	-1.467427732	0.021837695	-1.660773317	no	0	8	none	0	0
TLI7-7G	I	I_TLI	TLI	TLI	wet	29.413	38.7678	-97.5664	4298734	assemblies/TLI7-7G.fasta	annotations/TLI7-7G.gff	0.139701782	-0.854794945	0.29097988	-0.536135547	no	0	7	none	0	0
TLI8-10B	I	I_TLI	TLI	TLI	wet	29.413	38.7678	-97.5664	4297329	assemblies/TLI8-10B.fasta	annotations/TLI8-10B.gff	0.054661417	-1.262311169	0.024035286	-1.619132637	yes	0	8	none	0	0
TLI8-4H	I	I_TLI	TLI	TLI	wet	29.413	38.7678	-97.5664	4297895	assemblies/TLI8-4H.fasta	annotations/TLI8-4H.gff	0.058001157	-1.236555855			yes	0	7	none	0	0
TLI8-6C	I	I_TLI	TLI	TLI	wet	29.413	38.7678	-97.5664	4302638	assemblies/TLI8-6C.fasta	annotations/TLI8-6C.gff	0.075472271	-1.122206827			no	0	7	none	0	0
TLI8-7A	I	I_TLI	TLI	TLI	wet	29.413	38.7678	-97.5664	4299978	assemblies/TLI8-7A.fasta	annotations/TLI8-7A.gff	0.009301819	-2.031385429			no	0	7	none	0	0
TLI8-8A	I	I_TLI	TLI	TLI	wet	29.413	38.7678	-97.5664	4299912	assemblies/TLI8-8A.fasta	annotations/TLI8-8A.gff	0.065412245	-1.184334306	0.041067008	-1.386496362	no	0	7	none	0	0
TLI8-8F	I	I_TLI	TLI	TLI	wet	29.413	38.7678	-97.5664	4299811	assemblies/TLI8-8F.fasta	annotations/TLI8-8F.gff	0.610887422	-0.214038106	0.628538374	-0.201667511	no	0	7	none	0	0
TLI8-9D	I	I_TLI	TLI	TLI	wet	29.413	38.7678	-97.5664	4296014	assemblies/TLI8-9D.fasta	annotations/TLI8-9D.gff	0.041974259	-1.377006615			yes	0	8	none	0	0
TLI8-9H	I	I_TLI	TLI	TLI	wet	29.413	38.7678	-97.5664	4298053	assemblies/TLI8-9H.fasta	annotations/TLI8-9H.gff	0.03702421	-1.43150247	0.111921334	-0.951083242	no	0	8	none	0	0
TLI9-11B	I	I_TLI	TLI	TLI	wet	29.413	38.7678	-97.5664	4298584	assemblies/TLI9-11B.fasta	annotations/TLI9-11B.gff	0.071865071	-1.143476098			yes	0	7	none	0	0
TLI9-11C	I	I_TLI	TLI	TLI	wet	29.413	38.7678	-97.5664	4297998	assemblies/TLI9-11C.fasta	annotations/TLI9-11C.gff	0.057049795	-1.243738299	0.042277841	-1.373876927	yes	0	7	none	0	0
TLI9-12B	I	I_TLI	TLI	TLI	wet	29.413	38.7678	-97.5664	4297350	assemblies/TLI9-12B.fasta	annotations/TLI9-12B.gff	0.038165562	-1.418316959	0.022523399	-1.647346788	no	0	7	none	0	0
TLI9-1C	I	I_TLI	TLI	TLI	wet	29.413	38.7678	-97.5664	4299075	assemblies/TLI9-1C.fasta	annotations/TLI9-1C.gff	0.346776405	-0.459949208			yes	0	8	none	0	0
TLI9-3A	I	I_TLI	TLI	TLI	wet	29.413	38.7678	-97.5664	4296587	assemblies/TLI9-3A.fasta	annotations/TLI9-3A.gff	0.62426062	-0.204633365	0.48090578	-0.3179391	no	0	7	none	0	0
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
