cluster_name	safe_cluster_id	representative_id	ko	trusted_hit	score	evalue	threshold	kofamscan_definition	ko_definition	module_ids	module_names	pathway_ids	pathway_names	brite_A_id	brite_A_name	brite_B_id	brite_B_name	brite_C_id	brite_C_name	brite_ko_entry	pfam_target_name	pfam_accession	pfam_full_evalue	pfam_full_score	pfam_domain_i_evalue	pfam_domain_score	pfam_description	HAY1-4A	KNZ1-1G	KNZ1-1H	KNZ1-4G	KNZ1-6H	KNZ1-9H	KNZ12-10F	KNZ12-12B	KNZ12-1A	KNZ12-1B	KNZ12-6F	KNZ12-7H	KNZ13-10G	KNZ13-1A	KNZ13-6D	KNZ14-11B	KNZ14-9G	KNZ2-12A	KNZ2-1B	KNZ2-1C	KNZ2-3D	KNZ2-4C	KNZ2-5A	KNZ2-5C	KNZ2-5D	KNZ2-6B	KNZ2-6D	KNZ2-7A	KNZ2-8B	KNZ2-8D	KNZ2-9B	SVR3-12F	SVR3-5F	SVR3-6C	SVR3-7D	SVR3-7F	SVR3-8D	SVR3-8G	SVR3-9D	SVR3-9F	SVR3-9G	SVR3-9H	SVR4-10G	SVR4-12F	SVR4-1A	SVR4-1E	SVR4-7E	SVR4-9A	SVR4-9G	SVR5-10A	SVR5-11B	SVR5-12D	SVR5-12G	SVR5-1A	SVR5-1B	SVR5-1H	SVR5-2B	SVR5-3A	SVR5-3C	SVR5-3E	SVR5-4F	SVR5-5G	SVR5-9B	SVR6-10C	SVR6-10D	SVR6-11A	SVR6-11D	SVR6-7A	SVR6-8A	SVR6-9D	TLI6-10H	TLI6-11F	TLI6-1G	TLI6-3F	TLI6-4A	TLI6-5F	TLI6-5H	TLI6-8H	TLI6-IE	TLI7-5F	TLI7-6A	TLI7-7B	TLI7-7G	TLI8-10B	TLI8-4H	TLI8-6C	TLI8-7A	TLI8-8A	TLI8-8F	TLI8-9D	TLI8-9H	TLI9-11B	TLI9-11C	TLI9-12B	TLI9-1C	TLI9-3A
pcnB	cluster_000433	SVR312F_15095	K00970	yes	556.2	6.70E-167	265.5	poly(A) polymerase [EC:2.7.7.19]	pcnB; poly(A) polymerase [EC:2.7.7.19]			map03018; ko03018	map03018: RNA degradation; ko03018	9180	Brite Hierarchies	9182	Protein families: genetic information processing	3019	Messenger RNA biogenesis [BR:ko03019]	pcnB; poly(A) polymerase [EC:2.7.7.19]	PolyA_pol_arg_C	PF12626.13	4.50E-36	124	7.40E-36	123.4	Polymerase A arginine-rich C-terminus	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
fliG	cluster_000363	HAY14A_11860	K02410	yes	352.3	3.30E-105	84.2	flagellar motor switch protein FliG	fliG; flagellar motor switch protein FliG			map02030; ko02030; map02040; ko02040	map02030: Bacterial chemotaxis; ko02030; map02040: Flagellar assembly; ko02040	9180	Brite Hierarchies	9183	Protein families: signaling and cellular processes	2035	Bacterial motility proteins [BR:ko02035]	fliG; flagellar motor switch protein FliG	FliG_C	PF01706.22	5.20E-43	146.3	1.00E-40	139	FliG C-terminal domain	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DNA-binding protein	cluster_000459	KNZ11G_16265	K05787	no	30.1	3.10E-07	144.03	DNA-binding protein HU-alpha	hupA; DNA-binding protein HU-alpha					9180	Brite Hierarchies	9182	Protein families: genetic information processing	3400	DNA repair and recombination proteins [BR:ko03400]	hupA; DNA-binding protein HU-alpha	Bac_DNA_binding	PF00216.27	8.30E-13	49	8.30E-13	49	Bacterial DNA-binding protein	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
prfC	cluster_000125	HAY14A_12445	K02837	yes	862.3	1.10E-259	388.1	peptide chain release factor 3	prfC; peptide chain release factor 3					9180	Brite Hierarchies	9182	Protein families: genetic information processing	3012	Translation factors [BR:ko03012]	prfC; peptide chain release factor 3	GTP_EFTU	PF00009.34	6.00E-50	170	9.10E-50	169.4	Elongation factor Tu GTP binding domain	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
gcvR	cluster_000248	HAY14A_03170	K03567	yes	219.3	4.20E-65	97.37	glycine cleavage system transcriptional repressor	gcvR; glycine cleavage system transcriptional repressor			map02026; ko02026	map02026: Biofilm formation - Escherichia coli; ko02026	9180	Brite Hierarchies	9182	Protein families: genetic information processing	3000	Transcription factors [BR:ko03000]	gcvR; glycine cleavage system transcriptional repressor	ACT_6	PF13740.13	4.90E-11	42.9	9.90E-08	32.3	ACT domain	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
sufC	cluster_000358	HAY14A_12515	K09013	yes	417.1	2.30E-125	160.07	Fe-S cluster assembly ATP-binding protein	sufC; Fe-S cluster assembly ATP-binding protein					9180	Brite Hierarchies	9183	Protein families: signaling and cellular processes	2000	Transporters [BR:ko02000]	sufC; Fe-S cluster assembly ATP-binding protein	ABC_tran	PF00005.34	3.80E-23	83.2	5.10E-23	82.8	ABC transporter	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
sufB	cluster_000224	HAY14A_12525	K09014	yes	774.7	3.00E-233	368.73	Fe-S cluster assembly protein SufB	sufB; Fe-S cluster assembly protein SufB					9190	Not Included in Pathway or Brite	9194	Poorly characterized	99996	General function prediction only	sufB; Fe-S cluster assembly protein SufB	SUFBD_core	PF01458.24	3.70E-78	262.8	4.80E-78	262.4	"SUF system FeS cluster assembly, SufBD core domain"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ybjN																												1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ykaA	cluster_000207	HAY14A_12680	K07220	yes	125.6	1.80E-36	53.67	uncharacterized protein	K07220; uncharacterized protein					9190	Not Included in Pathway or Brite	9194	Poorly characterized	99997	Function unknown	K07220; uncharacterized protein	PhoU_div	PF01865.22	0.008	16.1	0.023	14.7	Protein of unknown function DUF47	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
murA	cluster_000222	HAY14A_12735	K00790	yes	636.7	1.90E-191	199.83	UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]	murA; UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]	M00995	"M00995: UDP-MurNAc biosynthesis, Fru-6P => UDP-MurNAc"	map00520; ko00520; map00550; ko00550; map01100; ko01100; map01250; ko01250	map00520: Amino sugar and nucleotide sugar metabolism; ko00520; map00550: Peptidoglycan biosynthesis; ko00550; map01100: Metabolic pathways; ko01100; map01250: Biosynthesis of nucleotide sugars; ko01250	9180	Brite Hierarchies	9181	Protein families: metabolism	1011	Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]	murA; UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]	EPSP_synthase	PF00275.26	3.30E-121	405.5	3.70E-121	405.3	EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
bolA	cluster_000319	HAY14A_12740	K05527	no	64.3	8.30E-18	70.2	"BolA family transcriptional regulator, general stress-responsive regulator"	"bolA; BolA family transcriptional regulator, general stress-responsive regulator"					9180	Brite Hierarchies	9182	Protein families: genetic information processing	3000	Transcription factors [BR:ko03000]	"bolA; BolA family transcriptional regulator, general stress-responsive regulator"	BolA	PF01722.24	7.80E-18	65.1	9.00E-18	64.9	BolA-like protein	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
lptB	cluster_000439	HAY14A_12765	K06861	yes	432.7	6.00E-130	272.6	lipopolysaccharide export system ATP-binding protein [EC:7.5.2.5]	lptB; lipopolysaccharide export system ATP-binding protein [EC:7.5.2.5]			map02010; ko02010	map02010: ABC transporters; ko02010	9180	Brite Hierarchies	9183	Protein families: signaling and cellular processes	2000	Transporters [BR:ko02000]	lptB; lipopolysaccharide export system ATP-binding protein [EC:7.5.2.5]	ABC_tran	PF00005.34	3.90E-35	122	6.40E-35	121.3	ABC transporter	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
